isVif,isNorm,mae,rmse,modelType,trainingTime,percentImprovement
True,True,0.07701534262865967,0.1582169276594583,RandomForestRegressor,14.855726480484009,-3.962395557045996
True,False,0.07723986708840228,0.15835562298437597,RandomForestRegressor,14.901245832443237,-4.265479330996602
False,True,0.07344320725111332,0.15420176917206851,RandomForestRegressor,34.76663160324097,0.8596014428815768
False,False,0.07328155961534005,0.1538378364577526,RandomForestRegressor,35.25279402732849,1.0778082946273493
True,True,0.06672673894267438,0.15010461026307034,RidgeRegression,0.021526098251342773,9.926108338722486
True,False,0.06674509450429954,0.15010918824560324,RidgeRegression,0.035982370376586914,9.901330312770593
False,True,0.06665855822956426,0.14989930212611224,RidgeRegression,0.03154587745666504,10.018144938493156
False,False,0.06681251376757256,0.14981623485736295,RidgeRegression,0.04197549819946289,9.810321588049984
True,True,0.06655108714659368,0.1500666513828597,LassoRegression,0.029529094696044922,10.163219294554963
True,False,0.06658028547413689,0.1500860176089217,LassoRegression,0.093536376953125,10.123804705538753
False,True,0.06655108714659368,0.1500666513828597,LassoRegression,0.04498028755187988,10.163219294554963
False,False,0.06655614221794498,0.1498122864690343,LassoRegression,9.597237825393677,10.156395494134737
True,True,0.06655108714659368,0.1500666513828597,ElasticNetRegression,0.02997422218322754,10.163219294554963
True,False,0.0665791153871166,0.15008419044416443,ElasticNetRegression,0.09700918197631836,10.125384196656853
False,True,0.06655108714659368,0.1500666513828597,ElasticNetRegression,0.0469818115234375,10.163219294554963
False,False,0.06658693508415005,0.14983680821687484,ElasticNetRegression,9.8038649559021,10.114828450121417
True,True,0.06696373703328844,0.15005784927105678,GradientBoostingRegressor,15.06855845451355,9.60618651013979
True,False,0.06704553747148656,0.15020522318743898,GradientBoostingRegressor,14.587148427963257,9.495764752312951
False,True,0.06701745103844046,0.1505489384174184,GradientBoostingRegressor,30.42829918861389,9.533678403833058
False,False,0.06681122580143112,0.15026059779784223,GradientBoostingRegressor,30.14644980430603,9.812060203251722
True,True,0.10998669480835467,0.22158672911251273,DecisionTreeRegressor,1.7607285976409912,-48.47016037844855
True,False,0.11032519221411194,0.21981420262390344,DecisionTreeRegressor,1.803605079650879,-48.92709532142542
False,True,0.1166178718572587,0.2488063510270459,DecisionTreeRegressor,4.575607538223267,-57.421533284636496
False,False,0.11532341605839416,0.2479450643220278,DecisionTreeRegressor,4.554913282394409,-55.67415774621244
True,True,0.06736830703159753,0.14999280118774752,MLPRegressor,6.155943155288696,9.060060702487124
True,False,108093.31675500206,108666.92804712085,MLPRegressor,10.186101913452148,-145914204.4748948
False,True,0.0671723997729327,0.14996203660045251,MLPRegressor,6.86713981628418,9.324514345393219
False,False,1194979.4659884733,1204469.0655495618,MLPRegressor,6.874204874038696,-1613093131.625909
True,True,0.07071534738171908,0.1532799077231863,XGBRegressor,0.30757570266723633,4.541917681264725
True,False,0.07068400642863186,0.15300722453100135,XGBRegressor,0.23648643493652344,4.58422458338031
False,True,0.07093190735868767,0.15414139342835997,XGBRegressor,0.35133862495422363,4.249585098963726
False,False,0.07110053545649998,0.1546412773801259,XGBRegressor,0.37506651878356934,4.02195537729483
True,True,0.06666487567795591,0.1502078799867254,SGDRegressor,0.10154175758361816,10.009617065394279
True,False,1.4545187811140847e+24,1.457207624606746e+24,SGDRegressor,0.6379258632659912,-1.9634432790416912e+27
False,True,0.06663231181507258,0.150219800959737,SGDRegressor,0.12352943420410156,10.053574763670916
False,False,5.451297265683089e+35,5.451328400846615e+35,SGDRegressor,0.9018166065216064,-7.358662615662918e+38
True,True,0.14312637750427534,0.2751094507851398,AdaBoostRegressor,6.094308137893677,-93.20515321851424
True,False,0.14988069196140885,0.27637616743087917,AdaBoostRegressor,6.013609886169434,-102.32274832803571
False,True,0.16025893064444474,0.29090811211044565,AdaBoostRegressor,11.212373971939087,-116.33224979001722
False,False,0.17992962133398507,0.30940848503176066,AdaBoostRegressor,11.04211950302124,-142.8855579562434
True,True,0.08476590524048971,0.17095267930518862,ExtraTreesRegressor,4.547984600067139,-14.424818089213986
True,False,0.0850070190754258,0.1715498532361882,ExtraTreesRegressor,4.4377968311309814,-14.750295728166579
False,True,0.07597587688657166,0.15758526748786122,ExtraTreesRegressor,9.563758134841919,-2.5592290585470683
False,False,0.07614762783454988,0.1575852117272578,ExtraTreesRegressor,9.558000087738037,-2.7910742906990955
True,True,0.06699000232846267,0.1500318847442619,CatBoostRegressor,0.3570237159729004,9.570731198079544
True,False,0.0670179546319822,0.15011092414769264,CatBoostRegressor,0.22008657455444336,9.532998606935475
False,True,0.06722079399545743,0.1500694958061309,CatBoostRegressor,0.24955034255981445,9.259187371142776
False,False,0.06725235558164178,0.1502652546875304,CatBoostRegressor,0.22995471954345703,9.21658263817254
True,True,0.06650003627973786,0.14977904505011438,LGBMRegressor,0.12262272834777832,10.232132451757744
True,False,0.06653425372525355,0.14968789590751055,LGBMRegressor,0.1260666847229004,10.185942595500055
False,True,0.06631663987628553,0.1497149247530457,LGBMRegressor,0.1930990219116211,10.479697791191235
False,False,0.06633791986012999,0.14971105054565,LGBMRegressor,0.18541908264160156,10.45097211105562
True,True,0.06709217991160304,0.15005059885551722,LinearSVR,56.00514769554138,9.43280249513627
True,True,0.06771589411305164,0.1499679395181856,RbfSVR,73.94345426559448,8.59085567892597
